ab4a3563dd4dbd4b8d89688c04c59e193b062cc3,DELETE,regular-file,_assets/Gruntfile.js,2164,
ae70c8e375ca9749c391f1e80fe68da61ea61ed1,DELETE,regular-file,_assets/js/app.js,207,
05b4c21453bc4b3e0c0647a8e7cd586c852f3379,DELETE,regular-file,_assets/js/shadowbox.js,37298,
a06db3fbc96ce52e1abb5d0481967bd6a2bde7ad,DELETE,regular-file,_assets/package.json,628,
f59e56491eb0c5c773184b55058bd363093d4edc,DELETE,regular-file,_assets/scss/_fonts.scss,5157,
dc60655fa0f2ff81f630ad10c56358c130d4840b,DELETE,regular-file,_assets/scss/_highlight.scss,3284,
af944401f75ea20515a02ddb3fb43d23ecb8c662,DELETE,regular-file,_assets/scss/_reset.scss,1092,
5d7da1d7906a61edebc954cfcdfd0df2c548e6b0,DELETE,regular-file,_assets/scss/_shadowbox.scss,2228,
3084f42ff9aaecfad0e63f773e19bac7af654fe6,DELETE,regular-file,_assets/scss/_style.scss,8825,
ce9f473fd707c87431b5f311083490de77d762e6,DELETE,regular-file,_assets/scss/master.scss,93,
